e00125 | # 熊 | 5. 약관을 쉽게 이용 할 수 있는 꿀팁 아래 7가지 꿀팁을 활용하시면 약관을 보다 쉽고 편리하게 이용할 수 있습니다.
e00818 | 제1-7조 계약 전 알릴 의무 | 사례 보험계약을 청약하면서 보험설계사에게 고혈압이 있다고만 이야기하였을 뿐, 청약서의 계약 전 알릴 사항에 아무런 기재도 하지 않을 경우에는 보험설계사에게 고혈압 병력을 이야기하였
e19023 | 제2-12조 주계약 약관 규정의 준용 | ※ 이 약관에서 "급여수술"이라 함은 의사에 의하여 "수술보장대상 질병 또는 재해"의 직접적인 치료를 목적으로 필요하다고 인정된 경우로서 의료기관에서 의사의 관리하에 "수술방법별 
e00486 | 제13조 계약 전 알릴 의무 | 사례 보험계약을 청약하면서 보험설계사에게 고혈압이 있다고만 이야기하였을 분, 청약서의 계약 전 알릴 사항에 아무런 기재도 하지 않을 경우에는 보험설계사에게 고혈압 병력을 이야기하였
e31270 | ## 적출 | 3) '한눈이 멀었을 때'라 함은 안구의 적출은 물론 명암을 가리지 못하거나('광각무') 겨우 가릴 수 있는 경우('광각유')를 말한다.
e31063 |  | ① 장애인, 그 법정대리인 또는 대통령령으로 정하는 보호자(이하 "법정대리인등"이라 한다)는 장애 상태와 그 밖에 보건복지부령이 정하는 사항을 특별자치시장·특별자치도지사·시장·군수
c05177 | 제2-12조 주계약 약관 규정의 준용 | 
e32157 |  | | 구분 | 수술명 | 수술코드 | | --- | --- | --- | | 안구 표면재건술 | 주요 각막이식수술<br>기타 각막이식수술<br>공막 및 각막윤부이식수술 | C051<
e32156 |  | | 구분 | 수술명 | 수술코드 | | --- | --- | --- | | 척추 중재시술 | 척추 중재시술(뼈에 시행한 경우) | B181 | | | 척추 중재시술(신경에 시행한 
c00709 | 제2-12조 주계약 약관 규정의 준용 | 
e31103 |  | ① 국가는 다음 각 호의 어느 하나에 해당하는 재난의 원활한 복구를 위하여 필요하면 대통령령으로 정하는 바에 따라 그 비용(제65조제1항에 따른 보상금을 포함한다)의 전부 또는 일
c04698 | 제2-12조 주계약 약관 규정의 준용 | 
c00008 |  | 
e30196 | 제7조 특약의 성립 | 계약자가 회사에 대하여 일정한 특약을 체결할 것을 목적으로 하는 의사표시로서 이를 회사가 승낙하면 계약이 성립합니다.
c04554 | 제2-16조 대리청구인에 의한 보험금 등 청구시 구비서류 | 
e30514 | 제4조 특약의 성립 | 계약자가 회사에 대하여 일정한 계약을 체결할 것을 목적으로 하는 의사표시로서 이를 회사가 승낙하면 계약이 성립합니다.
e30312 | 제8조 특약의 성립 | 계약의 청약 계약자가 회사에 대하여 일정한 특약을 체결할 것을 목적으로 하는 의사표시로서 이를 회사가 승낙하면 계약이 성립합니다.
c01934 | 제2-12조 주계약 약관 규정의 준용 | 
e31629 |  | | 유형 | 제한정도에 따른 지급률 | 지급률 | | --- | --- | --- | | 이동동작 | 특별한 보조기구를 사용함에도 불구하고 다른 사람의 계속적인 도움이 없이는 방 
e00356 | ## 계약자적립액 | → 제16조 보험계약의 성립 STEP 04 보험사고 발생 및 보험금 청구 보험계약 유지 중 가입하신 보험상품 약관상의 보험사고가 발생하셨다면 보험금 청구에 필요한 서류를 구비하시고
e00569 | 제20조 계약내용의 변경 등 | 2) 계약자가 보험수익자가 변경되었음을 회사에 알린 이후 : 변경 후 보험수익자 ※ 보험수익자가 변경되었더라도 회사에 알리지 않았다면 회사는 변경된 보험수익자에게 보험금을 지급하지
